PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR,Vol
PB563254,2008-08-02:00:01:24,0,PILAC-BT33,T5,70.1,2280,15860,19900,1호기,1,1134,117,1123,75,376,881,1,6,4조,7.850494767373035
PB563255,2008-08-02:00:02:45,0,PILAC-BT33,T5,70.1,2280,15860,19900,1호기,2,1142,161,1128,66,366,869,1,6,1조,7.850494767373035
PB563256,2008-08-02:00:02:24,0,PILAC-BT33,T5,75.16,2280,15373,20680,2호기,1,1139,120,1123,65,372,876,1,6,3조,7.850011424788195
PB563257,2008-08-02:00:02:51,0,PILAC-BT33,T5,75.16,2280,15373,20680,3호기,1,1117,131,1119,77,364,876,1,6,1조,7.850011424788195
PB563258,2008-08-02:00:03:12,0,PILAC-BT33,T5,75.16,2280,15373,20680,3호기,2,1141,130,1128,76,379,876,1,6,4조,7.850011424788195
PB563259,2008-08-02:00:03:56,0,PILAC-BT33,T5,75.16,2280,15373,20680,1호기,1,1138,122,1125,66,377,877,1,6,4조,7.850011424788195
PB563260,2008-08-02:00:03:21,0,PILAC-BT33,T5,75.16,2280,15373,20680,1호기,2,1135,146,1126,77,365,878,1,6,4조,7.850011424788195
PB563261,2008-08-02:00:03:42,0,PILAC-BT33,T5,75.16,2280,15373,20680,2호기,1,1131,117,1125,56,362,878,1,6,3조,7.850011424788195
PB563262,2008-08-02:00:04:08,0,PILAC-BT33,T5,75.16,2280,15373,20680,3호기,1,1119,121,1119,70,366,878,1,6,2조,7.850011424788195
PB563263,2008-08-02:00:04:24,0,PILAC-BT33,T5,80.83,2895,9788,17980,2호기,2,1139,132,1124,80,382,877,1,6,1조,7.850088987163608
PB563264,2008-08-02:00:04:44,0,PILAC-BT33,T5,75.33,1840,10514,11440,3호기,2,1139,129,1125,65,371,877,1,6,1조,7.85004707881836
PB563265,2008-08-02:00:05:23,0,PILAC-BT33,T5,75.33,1840,10514,11440,2호기,2,1140,139,1123,72,390,876,1,6,4조,7.85004707881836
PB563266,2008-08-02:00:05:53,1,PILAC-BT33,T5,80.82,2085,13176,17430,1호기,2,1138,131,1128,55,364,876,0,6,3조,7.850347754407566
PB563267,2008-08-02:00:05:49,0,PILAC-BT33,T5,80.82,2085,12919,17090,1호기,1,1132,78,1122,71,376,842,1,6,4조,7.850336249674408
PB563268,2008-08-02:01:10:40,0,PILAC-BT33,T5,80.82,2085,12919,17090,2호기,1,1133,89,1122,59,378,816,1,6,2조,7.850336249674408
PB563269,2008-08-02:01:10:36,0,PILAC-BT33,T5,80.82,2085,13176,17430,1호기,2,1130,92,1124,61,362,816,1,6,3조,7.850347754407566
PB563270,2008-08-02:01:10:23,0,NV-D32-TM,T0,40.35,2497,23592,37320,3호기,1,1119,109,1117,76,383,816,1,6,3조,15.70054739130541
PB563271,2008-08-02:02:20:10,0,GL-D36-TM,T7,40.35,3121,22962,22700,3호기,2,1140,90,1119,124,342,816,1,6,2조,7.8501659350455695
